,Tipo,Título,Fecha,Duración,Número de videos,Link
0,,Sesion de Bienvenida,4/07/2022 8:23:02,241,11,https://us02web.zoom.us/rec/share/PDU1KWbPqU1faA47n6JhtkPVNQKuBm6nC0wv-akNQTulJmUihMU2mXYqM0R8cIDM.EMfnSMdoHc0Z3zUJ
1,Herramientas,"Herramientas de comunicacion, Herramientas de programacion y Masterclass Git 1-2",5/07/2022 8:27:25,197,9,https://us02web.zoom.us/rec/share/lhpGilGuEbdClf21J8EJJM-2qQVQSMF-IWNgSfrAkgYsTsms51R2Yo50eZ464i68.jeMyNQLQfXTA9v8f
2,Clase,"Python Variables, booleanas, operadores numéricos y binarios",6/07/2022 8:24:25,57,2,https://us02web.zoom.us/rec/share/wtXkpEtVoF5UPpfBnDtjMXX4nrZL58Efi8KnjKnj8DZhBRmoWq-Zzw0UM4go3TfD.qK_cSX4EGWYmGpTI
3,Clase,SQL Intro bases de datos y  modelos Relacionales,6/07/2022 10:41:40,54,3,https://us02web.zoom.us/rec/share/M1DIPGOuD1XKZus7ZsjHncPJBoqeHgUlsZjpzaZTkkYaj7an9obKC-lya3kv8Ik2.6Hhoylf6ukZp2HZh
4,Clase,Importación de bases de datos y datos en MySQL,6/07/2022 11:53:33,61,3,https://us02web.zoom.us/rec/webhook_download/3dg18guK-kB5JnSDwwzSoSg72JPrd-e2G55w34Lv-nun-q5dq5HjR0YZDHUxeUUt9DhZufzwv1XTCaQ.cl988VTLAM4xYFEi/tX7KNFpeqjEsTdSrc2IC4_y2xBfw-cef5-pafoPI-fh4gnxP4M3YKbhv8hDbp4tnKw.7KBmLRDR17FpOuW8
5,Proyecto,"Introducción al proyecto, sprint planning, user stories",6/07/2022 13:21:12,91,6,https://us02web.zoom.us/rec/share/7Ev2r3PCPP3l7ao56fKNOKZ7kibKw1gkjymZlT5xKgOfzgG5CIPQrzIzJf7co_eX.mbRDyaeY_qYeLafu
6,Clase,Python Listas,7/07/2022 8:19:30,55,3,https://us02web.zoom.us/rec/share/TqEk5lCi801U79eVYVtB_rX7Xsq9x7dFsPTe2X8xG3cWzQvIYzi_l0xHqaud_BCI.w903SpQiH2mzmvPw
7,Clase,SQL Creación de tablas,7/07/2022 10:45:45,64,2,https://us02web.zoom.us/rec/share/e6nPPYFz1kYz0w9dYrnyt2roW-GQte2PEuJbTUJ-JtXZGON3gsNUlCVg6QyMJDgf.kw3V3u6Z_eLD7ZPz
8,Proyecto,"Sprint review, retro, demo",7/07/2022 13:32:51,26,2,https://us02web.zoom.us/rec/share/h2Yg3SO_OBdfwbKUvFCxofOO5BFoNOIr4SR0G52ozzPi4x50PrClIp0fxxeKn_W4.Z7DydnyRsIOUehOz
9,Clase,Python Indexando Listas,8/07/2022 8:18:42,68,3,https://us02web.zoom.us/rec/share/nST0oubT41_mbH1OM7YEUzvPABiNA-tBbtDBRTzY2boZ8fG5lSXM2uBmhWaSiQDp.-DmxK2_4Ox4zlm7B
10,Clase,Alteración de tablas,8/07/2022 10:43:46,53,3,https://us02web.zoom.us/rec/share/4qGIvJD5ulerFGVCyQtty1HqNwjUUDt7oAUTrKiyozgdstEgaDqXpIJrmGHC3hML.cC61goigoOTBWxtf
11,Proyecto,Resolución dudas Agile - Scrum,8/07/2022 13:25:45,78,3,https://us02web.zoom.us/rec/share/9LpqQb0ivnR9BNK3TCfIQF4yPaKqeSsDxgNRM6_dPMe1EE-L13hZekwCE5qVb2wy.oBkkxrD6-agiRXY8
12,Clase,Python Diccionarios,11/07/2022 8:17:12,71,3,https://us02web.zoom.us/rec/share/nmssIjO1TgI-n4q94-1yyWcbSpKG8HltvMv74gcGGkLQr3cRrC7-SEfL3h7uFjk.XxCqxAtFywHDIbLH
13,Clase,SQL Inserción de datos,11/07/2022 10:48:34,57,3,https://us02web.zoom.us/rec/share/_SKuqfMBjTqFGKyfLv-sUf2HeYE1aKo42kUrLookH0vhnokuoUpOeOCZzMcNSvxD.-464TiHTU_klqrnI
14,Clase,Como serán las evaluaciones,11/07/2022 13:14:15,23,2,https://us02web.zoom.us/rec/share/URS1j20yJkyBE6EcgW6_zTwEHmS5Spx5p69glfJNid3oO4b4Dd-BiTPBZNYJ5SBH.WtRiGKSTZ67mjjC3
15,Clase,"Repaso Python Ejercicios variables, listas y diccionarios",12/07/2022 8:15:08,108,2,https://us02web.zoom.us/rec/share/nYzeolTGgSYGRqjpmqT7IYtwdAp5Lyu3mDSp_lgpEhp1nBaG8x9iKMzvDwc1cKMi.GzZRKRK2S8z_sep-
16,Clase,Repaso SQL Tablas Spotify,12/07/2022 10:43:22,126,3,https://us02web.zoom.us/rec/share/rsg6M-sIQqou_Nb2Q8MMkV5seb0JPk-Dhc5NoYDkhLgEL-xk_9xVmZ0KaWEcxyxW.Ewg5gPMwCtvxaA_Y
17,Clase,Python Sets y Tuplas,13/07/2022 7:42:45,68,3,https://us02web.zoom.us/rec/share/jNKOCbmTFSSmKxdegB-xgkSPkAxSMi1uy_Y4bawdtdoXdL5mJs8OCW94cUjZcI82.x0hVVr5U0TC-4h7V
18,Clase,SQL Consultas básicas 1,13/07/2022 10:50:36,53,3,https://us02web.zoom.us/rec/share/tWXdsMqS3_tIu4abYYeI06w-fC3jULdQYlHsAYQubiHb7j2NxbC9vcTWY10TTD1H.RnB4wqCX9ozHXRKP
19,Clase,"Python Sentencias de control if, While",14/07/2022 8:22:58,53,2,https://us02web.zoom.us/rec/share/qcybyeGNrIdK2C9xPAtV42-NsJ7jnPWZPNjugCmXDPyJLiGb4oWJmlbfJVLGOvtJ.O6wwaP0OfVfZFf8M
