,0,Título,2,3,4,5,6,Link
0,Clase,Introducción  a Numpy,Unnamed: 2,Promo B: sala principal DA,22/08/2022 8:24:59,57,3,https://us02web.zoom.us/rec/share/Abl88vLylf_dEDbvP0NukdpybabT-aWf5K74Jr6GfEURcNYo8MdYRLXaN1aBwJGk.hB3P6N1ysbLfhonf
1,Clase,Introducción  a Pandas Series y Dataframes,,Promo B: sala principal DA,22/08/2022 13:26:31,6.0,2.0,https://us02web.zoom.us/rec/share/NIIhqi2UlTrwyrZAGUwUFalOiTM_PgD3VNg8Hc0pkQSckcKUiRM-BCsh3ecKM7YP.l4P2U6_E6Po3xUbN
2,Proyecto,Presentación Proyecto 2,,Promo B: sala principal DA,22/08/2022 10:48:56,53.0,2.0,https://us02web.zoom.us/rec/share/jnGCIlncjozwbPyS9lQOzA0mtp-u7nqGLitLeNQcGpQKd46YC5u_BvOD64s21oX7.e9RLsARqY6knP0E9
3,Clase,Numpy 2 Indexación en Numpy,,Promo B: sala principal DA,23/08/2022 8:24:34,59.0,2.0,https://us02web.zoom.us/rec/share/XZbWnKsPYCqpsSAiAY3TeywPsZmLBbLl6siBdn5_SqKcjECUnFZoa2YII6jOkL59.Ah3onue8jrpWEYfz
4,Clase,Pandas 2 Carga y guardado de datos,,Promo B: sala principal DA,23/08/2022 10:40:08,52.0,2.0,https://us02web.zoom.us/rec/share/Jo6q0GL2UIwoojBWSaNoEmXDS9_a1LDAquAKHiMYOsxFQvpwD00grKftbDYP0CzM.4bqRYAZEc0DqKAKg
5,Clase,Proyecto: Crear tablero kanban en projectos Adalab,,Promo B: sala principal DA,23/08/2022 13:27:42,5.0,2.0,https://us02web.zoom.us/rec/share/AVQb-7lMm-fTDKxKK5_Zb2Sn81Vu9nXiK_G6e5dpbQP02bKjd1Zd5FFXvYWl1Rk9.1PyQrc2_61hCQXuX
6,Clase,"Numpy III - Operaciones estadísticas y matemáticas
",,Promo B: sala principal DA,24/08/2022 8:25:06,52.0,2.0,https://us02web.zoom.us/rec/share/Z1kwALzfWFm7mBr_2cnWupi46kwRLv72zlCeHKLp-OzxlLgvI1XBn8_WrTZIrmqH.X14IKe0lSUWCJnIr
7,Clase,Pandas III - Métodos Pandas,,Promo B: sala principal DA,24/08/2022 10:51:50,43.0,2.0,https://us02web.zoom.us/rec/share/_fGYIHe1rh_mdiOPt_v-LpaTAsn7RTYsNPICmJV-15OB5xIDTqJbE1I1SMTtwaTG.8O6Vz_Uif95K1E2Z
8,Clase,"NumPy IV - Conjuntos, distribuciones aleatorias",,Promo B: sala principal DA,25/08/2022 8:13:15,61.0,2.0,https://us02web.zoom.us/rec/share/U92ca1QF9T2P2K42e8oyV8ZBrEfKufi4Y-pPPWbhzof1fQZY9PoY2AQT9mcyguk.7euKpziQLkw_fBm_
9,Clase,Pandas IV - Filtrado de datos,,Promo B: sala principal DA,25/08/2022 10:29:32,50.0,2.0,https://us02web.zoom.us/rec/share/vnz0CElitBbrYiUVRmw0R9N8GIXh9duiPkwpmL-Ey0BFM0Tda7zDkKTRLjFMxR2K.fYR6zFE7IJVTHmHY
10,Clase,Repaso Numpy y Pandas,,Promo B: sala principal DA,26/08/2022 8:23:18,242.0,6.0,https://us02web.zoom.us/rec/share/IscWquqk9GggnKoePcgG9EZed7rdrz7MVvO59yI0bP3ICKedJ96VbsLPjGnvq3Q.x7tFi3KjuTvtbL0i
11,Clase,Visualización I - Matplotlib,,Promo B: sala principal DA,29/08/2022 8:24:04,64.0,3.0,https://us02web.zoom.us/rec/share/5VnxukNiRg9D_Zc0w4_fceuNsp6Ds9-R0pQJ-8HbnSUFs5pB3RwdF1Xv5trElLcA.2DMp9QMPvkXqm33U
12,Clase,Pandas V - Unión de datos,,Promo B: sala principal DA,29/08/2022 10:42:12,44.0,2.0,https://us02web.zoom.us/rec/share/gKCeGsqWnUkTxjqiQC4L5FVTHrS9qGKJj9LvvZfkm0nQnA28QjzPF4D_yb21mMH4.hgIhDmFG_rPMV7GZ
13,Clase,Visualización II - Personalizando Matplotlib,,Promo B: sala principal DA,30/08/2022 8:28:43,58.0,3.0,https://us02web.zoom.us/rec/share/0gJqLqEmF9yy4TGDGOtFVlMFUiuagMdyq_LJR79DVDd4lPBx3uAi9dCRFMI38Hlc.XMPTjKhWm4GwojA0
14,Clase,Pandas VI - Grobpy,,Promo B: sala principal DA,30/08/2022 10:40:52,46.0,3.0,https://us02web.zoom.us/rec/share/2U9J1Gpupk4BtDu0EawRioH80sQ2n2QHNgesFNEQy2KZwnbkmHZ2H31WgKqHt0qW.0qHfZWxa7tW9uxkR
15,Clase,Dudas Visualizacion Matplotlib,,Promo B: Sala de Alejandro,30/08/2022 14:36:20,41.0,3.0,https://us02web.zoom.us/rec/share/kHUapA397QfZzZ9kc4emFyMzfxm40pN1eBWs4chvgGZxqyDlejncFCc5DTM9YmEV.toBMR7mat--4GxMS
16,Clase,Visualización III - Seaborn,,Promo B: sala principal DA,31/08/2022 8:24:13,53.0,3.0,https://us02web.zoom.us/rec/share/sRzxj6jYITFqPyyaJqLbyr3Fxftb9zCkqwTDSrEAip-HVdUqYCvFguMGJ4ZfALWn.ZiCwV_pLQaPORoi1
17,Clase,Pandas VII - Apply,,Promo B: sala principal DA,31/08/2022 10:47:50,47.0,3.0,https://us02web.zoom.us/rec/share/pH_lMy2jDcBUhbkSvQCxqeFVjpdc5xeamS7VifAqnCoX0DnVfe8l9lI3eQDEG78R.gpAsFiIUoXX-7CWW
18,Clase,Estadística I - Introducción,,Promo B: sala principal DA,1/09/2022 8:28:30,54.0,3.0,https://us02web.zoom.us/rec/share/i2pQw5nQgc9rIB0n_dwCVcGfNI-5H7GkulpV1dwPY0Ze8mEhn_z2v6yW75L1p8Rp.wL2pAqchq0lPFw9h
19,Clase Repaso comun ,Visualización2,,Promo B: Sala Ana,1/09/2022 14:34:39,49.0,3.0,https://us02web.zoom.us/rec/webhook_download/1fkcNJuhGkXL-4wHJ1l2RQD7gFMJK0foCSAJ5R0tUkXRLSiApNjzDrXBZzHmyvd0_AdkrJblui6CMOrL.x9L2UrVN21bTt3VY/7j3YbTdJzLrV56YjpiFRRXYFTMGVlVDD7axX4yFlPg_M7K5iFgJxeUCLvknYV9gM5w.Af35UtO83yIfofHg
20,Clase,"Estadística III - Tablas de contingencia, correlación, sesgos y intervalos de confianza",,Promo B: sala principal DA,2/09/2022 8:28:57,46.0,2.0,https://us02web.zoom.us/rec/share/Ml8owbUsBsyYs8ORjZdq6qMuiHORSd5IGEucddk4Ra7KrzHsnZ6vMtJd5QxrGpd2.CtUc4D4BiNeV7Jwj
21,Clase,Repaso Conceptos Estadística y Visualizacion,,Promo B: sala principal DA,2/09/2022 10:43:00,61.0,3.0,https://us02web.zoom.us/rec/share/9jz73rky9zazMqHhgyMWaOpeyvLWYFYV2dns3j86O-Ex3pWXYb2fwXFcnXnfBMa4.PA52BBxHBiFICalu
22,Clase Repaso comun ,Visualización,,Promo B: Sala Ana,2/09/2022 14:33:34,58.0,3.0,https://us02web.zoom.us/rec/webhook_download/-x0gR1IO5h3-e-Lrj2yIr7QAdCAUFdGGuc5MSARdAewN5LOusPCihNMpWqqQLqAIDPyC-yxVaKHG6Vt1.Qa3-zCvxbJ4mFS1S/WMz81DnHybJSrt0aYoi68SCQPKKHM-MjZG51noVRUbL_dC27TCyjPJQW1Ps8ACYCMA.q5NgtbUxtOWX9LdE
23,Clase,Repaso Visualizacion y Estadística,,Promo B: sala principal DA,5/09/2022 8:17:05,270.0,3.0,https://us02web.zoom.us/rec/share/z3Dp4CKhdtU0KZHlNeUXpM8A8Gv1RfKJlewirYM7WyP1ISDPGmvjaDtw6E8iDvas.8A443MHD3S-eVg0Z
24,Clase,EDA I - Introducción,,Promo B: sala principal DA,7/09/2022 8:18:48,47.0,2.0,https://us02web.zoom.us/rec/share/T07SsRbUMJ2FdCOgVAXlUg6MnbarS55DWys_GitMjWMGA4IdP3Bex0c8BWpAK2iP.lyObzqAT9-AI7XcI
25,Clase,Limpieza I - Introducción,,Promo B: sala principal DA,7/09/2022 10:48:38,48.0,2.0,https://us02web.zoom.us/rec/share/14MyGib9PTOP8ovJoO1a3fF8TbTuonlnO9lEOnHSZ5PiQO23VQs2F-VFk_-eXKZd.mx9T5EZjGQ7PyRWY
26,Proyecto personal,Introducción,,Promo B: sala principal DA,7/09/2022 13:29:18,45.0,3.0,https://us02web.zoom.us/rec/share/b9-08BuMCoHOOFstRr8qbjOZgvEOge7a0V-cFTGBCmfojgylBARbaIcaymJquc8j.ObixxK6HnMjwr4Xx
27,Clase,EDA II - Nulos y Valores extremos,,Promo B: sala principal DA,8/09/2022 8:20:08,63.0,3.0,https://us02web.zoom.us/rec/share/AQ-sg1PT6AmMCY4iybAIEFMWhoPcC6nWWGEsOZT-HiLClVjLbNhGBOISbiBfiGfN.wp7YpzU9oP5qirTo
28,Clase,Limpieza II - Strings,,Promo B: sala principal DA,8/09/2022 10:48:36,59.0,3.0,https://us02web.zoom.us/rec/share/nD7Tm3h5antE0LrP-BGZn-zFEqwtgahABBWfgDAtxPpKIJ_4tS4U0fo4LlQpvwUv.ThfW4K76OP0dxM9e
29,Tutoria,Visualizacion,,Promo B: Sala de Alejandro,8/09/2022 14:41:53,33.0,2.0,https://us02web.zoom.us/rec/share/7TYeN5IR4taHFIGH7SsPdrzFaIlUA9wHai2eCx68VgXAsEMxPyOuqJqOoxMJcCzS.SZnQhmHkeXRJFBgH
30,Clase,EDA III - Visualización,,Promo B: sala principal DA,9/09/2022 8:10:42,54.0,2.0,https://us02web.zoom.us/rec/share/QY2WKO9SUVi86XZcM7MxJNrGVmiue4xl-uONOPc_Ox8d3dbEWm-R-8TcFBYI-63y.B_kiMmEkR_f7mJZo
31,Clase,Limpieza III - Outliers,,Promo B: sala principal DA,9/09/2022 10:44:28,19.0,2.0,https://us02web.zoom.us/rec/share/fvbEwbaFGicWQf1ve3qXyY9aAszAYAzziAkajwQVgPcbmHvQPSz15CdrITat9ysl.2dvITxs-N-A2KASM
32,Clase,Limpieza IV - Valores Nulos,,Promo B: sala principal DA,12/09/2022 8:27:27,45.0,3.0,https://us02web.zoom.us/rec/share/0FGl7m0IEPATTnmcC34OqUxF_z2143HJOmFsXYyDT0fl80jhrufkCTJy43qPYnwT.H_s9oI6kNMNs_jFR
33,Clase,Limpieza V - Valores Nulos Sklearn,,Promo B: sala principal DA,12/09/2022 10:46:21,55.0,2.0,https://us02web.zoom.us/rec/share/EZ84mZPanGqwAxddIPq5KzbKAP4gOpsVHpgl8YuW7SnEn8TzXJSkypUTNGKnLdh5.kSzOEaNb9rYnvzCJ
34,Clase,Repaso EDA Limpieza,,Promo B: sala principal DA,13/09/2022 8:24:11,257.0,3.0,https://us02web.zoom.us/rec/share/EdcMPeY1tWQWAkFn0WgUHHW2g1J1BR9wEMaBeNrOGo0ORcbC7zh3J-n2UHrjS0Fi.5BK1iOzvXpRuVUPY
35,Clase,ETL I - Extracción - API's,,Promo B: sala principal DA,14/09/2022 8:23:50,65.0,3.0,https://us02web.zoom.us/rec/share/Ep50phElZLvQgLZxWwzgEErzAS3llmQj42JTJzXVXndj5ZYExquBJ_7CxiWGBjAi.2FxChAaJWsBl9UPF
36,Clase,ETL II - Transformación I - Limpieza,,Promo B: sala principal DA,14/09/2022 10:44:04,59.0,3.0,https://us02web.zoom.us/rec/share/5MCIHdWaquD-4WQPSAVFqHz3hz1-x2l5zqUWeDslgNSmm3zxEMKwBTCKl6XrRWFh.lNWwcKAYHSxZDnYJ
37,Clase,ETL III - Transformación II - Clases y Funciones de limpieza,,Promo B: sala principal DA,15/09/2022 8:20:08,64.0,3.0,https://us02web.zoom.us/rec/share/3bPaHZKlbH23jOp6ISIXIp0x8hfzL4mTUqnWZ_96QIBeVviLCUOGg4g2WO1edPzw.JsDXhFEHclvoQbDO
38,Clase,ETL IV - Carga I - Creación BBDD e inserción de datos,,Promo B: sala principal DA,15/09/2022 10:41:08,46.0,2.0,https://us02web.zoom.us/rec/share/D5AAkDj3gKETzkC6GNvAdWFlYd4r8GsqDTHeoWmRM8iHt-IsDVTJWTBTlCFFAMNj.yoPEH9jODEdFu-RU
39,Clase,ETL V - Carga II - Clases y Funciones BBDD e inseción,,Promo B: sala principal DA,16/09/2022 8:19:16,63.0,2.0,https://us02web.zoom.us/rec/share/_93MiNiUy3C_GestBXwNVDd63T56C8vVigePUHvzGtu7NuuM9ti9OaZVNu-R0q4w.I4DP4ZggaL-jBUm1
40,Clase,ETL VI- Ejecutable - Pipeline ETL,,Promo B: sala principal DA,16/09/2022 10:47:35,44.0,2.0,https://us02web.zoom.us/rec/share/x-2FooRVsObLi4QuOCzWfzqrxtTfiTQdDhtxEXxrgPe1u-fBDAkwLYKBIk2RhHAm.-AromV-GqiKA7dtP
41,Tutoria,Tutoría,,Promo B: Sala de Alejandro,16/09/2022 14:50:36,39.0,2.0,https://us02web.zoom.us/rec/share/qYonhi_I1Xl6c5rmkAedOw7GnzjGIAkm21yen2A5ANDaf-YAJi9aJUDR5_Kv4kF5.dKKVcrKTKq4SXnJr
42,Clase,Repaso EDA - Limpieza - ETL,,Promo B: sala principal DA,19/09/2022 8:18:08,255.0,3.0,https://us02web.zoom.us/rec/share/kSWdem-mZh6paCrtuzYomWFv5W3YsObDtTtkeJnXRcGe8iAVDgXgBvP1lLeJBgPX.GzndKS354yuh2g41
